Country,Circulatory system,Cancer,Respiratory system,External causes,COVID-19,Other
Japan,143,175,67,37,2,164
Korea,129,160,81,50,2,214
Australia,165,191,52,46,4,205
Luxembourg,171,171,49,36,71,205
Spain,179,184,53,29,63,195
Iceland,207,186,58,47,2,207
Canada¹,178,200,64,48,,222
France¹,161,210,50,50,,244
Switzerland,191,168,36,39,87,208
Italy¹,249,205,57,32,,187
Israel,159,177,65,25,49,261
New Zealand¹,237,221,70,44,,176
Sweden¹,246,189,57,47,,223
Norway¹,204,207,82,49,,224
Finland,254,181,24,52,8,255
Costa Rica,191,160,55,52,71,247
Portugal¹,222,211,82,41,,235
Belgium¹,200,197,91,59,,250
Denmark,172,231,84,35,16,278
Netherlands,171,217,51,46,98,239
Ireland¹,248,234,112,33,,199
Greece,279,208,74,35,33,200
Chile,199,182,70,44,126,221
Austria,282,192,37,47,71,214
Germany,282,206,52,39,33,237
United Kingdom,196,222,89,38,105,247
Slovenia,291,247,30,70,128,155
OECD38,286,202,67,49,90,230
Türkiye¹,384,154,137,26,,268
United States,279,182,83,87,107,296
Slovak Republic¹,470,253,66,59,,215
Estonia,489,228,37,66,105,188
Argentina,300,177,168,38,163,286
Croatia,455,262,44,56,88,233
Poland,429,240,71,51,102,277
Hungary,594,286,76,52,,189
Czech Republic¹,423,221,66,48,213,230
Colombia,407,166,125,63,199,251
Romania¹,689,232,84,48,,176
Brazil,340,178,152,83,184,408
Peru,236,157,147,40,519,268
Lithuania,654,226,31,77,202,194
Latvia,708,246,34,74,183,216
Bulgaria,906,215,72,33,99,180
Mexico,428,126,145,73,271,492
South Africa¹,507,192,186,121,,887
